code,title
F40.8,Alte tulburari anxioase fobice
F40.9,"Tulburari anxioase fobice, nespecificate Fobia NOS Stare fobica NOS"
F41,"Alte tulburari anxioase Tulburari in care manifestarea anxietatii este simptomul major si nu este limitata la vreo situatie particulara de mediu. Simptomele depresive si obsesionale, si chiar unele elemente de anxietate fobica, pot de asemenea sa fie prezente, cu conditia ca ele sa fie in mod clar secundare sau mai putin severe. /UIdown 0511 Tulburare de panica [anxietate episodica paroxistica] Trasatura esentiala o constituie atacurile recurente de anxietate (panica) severa, care nu se limiteaza la vreo situatie speciala sau la un grup de circumstante si de aceea sunt imprevizibile. Ca si la alte tulburari de anxietate, simptomele dominante includ debutul brusc de palpitatii, dureri de piept, senzatii de sufocare, ameteala si sentimente de irealitate (depersonalizare sau derealizare). De asemenea exista deseori o frica secundara de a muri, de a pierde controlul sau de a innebuni. Tulburarea de panica nu ar trebui sa fie considerata ca diagnostic principal daca pacientul are o tulburare depresiva in momentul in care atacul incepe; in aceste circumstante atacurile de panica sunt probabil secundare depresiei. Panica: - atac (de) - stare (de) Exclude: tulburarea de panica cu agorafobie (F40.01) Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 117"
F41.1,"Tulburare de anxietate generalizata Anxietatea care este generalizata si persistenta dar care nu se limiteaza la vreuna din circumstantele particulare de mediu sau poate fi chiar foarte predominanta in una din acestea (adica, este 'flotanta'). Simptomele dominante sunt variabile dar includ plangeri din partea pacientului de nervozitate persistenta, de tremuraturi, tensiuni musculare, transpiratii, sentiment de 'cap vid', palpitatii, ameteala si discomfort epigastric. Sunt deseori exprimate temeri ca pacientul sau o ruda se vor imbolnavi sau vor avea un accident. Anxioasa: - nevroza - reactie - stare Exclude: neurastenia (F48.0)"
F41.2,"Tulburare anxioasa si depresiva mixta Aceasta categorie ar trebui sa fie folosita cand simptomele de anxietate si depresie sunt ambele prezente, dar nici unul nu este predominant in mod clar si nici un tip de simptom nu este suficient de prezent pentru a justifica un diagnostic daca sunt considerate separat. Cand sunt prezente atat simptomele de anxietate cat si cele de depresie si sunt destul de grave pentru a justifica diagnostice individuale, ambele diagnostice ar trebui sa fie inregistrate, iar aceasta categorie nu ar trebui sa fie folosita. Depresie anxioasa (usoara sau nepersistenta)"
F41.3,Alte tulburari anxioase mixte Simptomele de anxietate mixte cu trasaturi ale altor tulburari de la F42-F48. Nici un tip de simptom nu este destul de grav pentru a justifica un diagnostic daca sunt considerate separat.
F41.8,Alte tulburari anxioase specificate Isterie anxioasa
F41.9,"Tulburare anxioasa, nespecificata Anxietate NOS"
F42,"Tulburare obsesiv-compulsiva Gandurile obsesive recurente sau actele compulsive sunt trasatura esentiala. Gandurile obsesive sunt idei, imagini sau impulsuri care patrund in mintea pacientului necontenit si stereotipic. Sunt chinuitoare aproape invariabil si pacientul incearca deseori, fara succes, sa le reziste. Totusi, ele sunt recunoscute ca gandurile proprii ale lui sau ale ei, chiar daca ele sunt involuntare si deseori repugnante. Actele sau ritualurile compulsive sunt comportamente stereotipe care sunt repetate necontenit. Ele nu sunt placute prin ele insele, nici nu rezulta din completarea sarcinilor utile prin ele insele. Functia lor este de a preveni un eveniment in mod obiectiv putin probabil, deseori implicand vatamarea pacientului sau provocat de acesta, de care el sau ea are teama ca s-ar putea produce altminteri. De obicei, acest comportament este recunoscut de catre pacient ca fiind fara rost sau ineficace si sunt efectuate multe incercari pentru a rezista. Anxietatea este prezenta aproape invariabil. Daca se rezista actelor compulsive anxietatea se agraveaza. Include: nevroza anancasta nevroza obsesiv-compulsiva Exclude: personalitatea (tulburarea) obsesiv-compulsiva (F60.5)"
F42.0,"Ganduri predominant obsedante sau de meditare Acestea pot fi forma ideilor, imaginilor mentale sau impulsurilor de a actiona, care sunt aproape intotdeauna suparatoare pentru subiect. Uneori ideile sunt o considerare nedecisa si fara sfarsit a alternativelor, asociate cu o incapacitate de a lua decizii banale dar necesare traiului de zi cu zi. Relatia dintre meditarile obsedante si depresie este in mod special stransa, iar un diagnsotic de tulburare obsesiv-compulsiva ar fi de preferat numai daca meditarile se produc sau persista in absenta unui episod depresiv. Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 118"
F42.1,"Acte predominant compulsive [ritualuri obsedante] Majoritatea actelor compulsive au ca preocupare curatenia (mai ales spalarea pe maini), verificarea repetata pentru a se asigura ca nu i s-a permis vreunei situatii potential periculoase sa se dezvolte, sau ordinea si randuiala. Comportamentul evident este de frica, de obicei de pericol fie fata de pacient fie cauzat de acesta, iar ritualul este o incercare ineficienta sau simbolica pentru a evita acel pericol."
F42.2,Ganduri si acte obsedante mixte
F42.8,Alte tulburari obsesiv-compulsive
F42.9,"Tulburare obsesiv-compulsiva, nespecificata"
F43,"Reactie la stress sever si tulburari de adaptar e de adaptare Aceasta categorie difera de celelalte prin aceea ca include tulburari identificabile nu numai pe baza simptomelor si evolutiei dar si pe existenta uneia sau alteia din cele doua influente cauzale: un eveniment din viata extrem de stresant care produce o reactie de stress acut, sau o schimbare semnificativa in viata care duce la circumstante neplacute continue rezultand intr-o tulburare de adaptare. Cu toate ca stressul psiho-social mai putin sever ('evenimente din viata') poate precipita debutul sau poate contribui la prezentarea unui evantai foarte larg de tulburari clasificate altundeva in acest intotdeauna clara si in fiecare caz se va descoperi ca depinde de vulnerabilitatea individuala, deseori idiosincratica, adica evenimentele din viata nu sunt nici necesare nici suficiente pentru a explica producerea si forma tulburarii. In contrast, tulburarile reunite aici sunt considerate a se produce intotdeauna ca o consecinta directa a stressului sever acut sau traumei persistente. Evenimentele stressante sau circumstantele neplacute continue sunt factorul primar cauzal precumpanitor, iar tulburarea nu s-ar fi produs fara impactul lor. Tulburarile din aceasta sectiune pot astfel sa fie considerate ca raspunsuri neadaptabile la stressul persistent si sever, prin aceea ca ele vin in conflict cu mecanismele adaptative de succes si duc deci la probleme de functionare sociala."
F43.0,"Reactie acuta la stress O tulburare tranzitorie care se dezvolta intr-un individ fara vreo alta tulburare mentala ca raspuns la un stress extraordinar fizic si mental si care de obicei dispare in cateva ore sau zile. Vulnerabilitatea individuala si capacitatea de a face fata problemelor joaca un rol in producerea si severitatea reactiilor acute la stress. Simptomele arata un tablou mixt si in schimbare si includ o stare initiala de 'uimire' cu o oarecare restrangere a campului constiintei si diminuare a atentiei, incapacitate de a intelege stimulii si dezorientare. Aceasta stare poate fi urmata fie de o noua retragere din mediul inconjurator (putand ajunge pana la stupoare disociativa - F44.2), fie de o agitatie si supra-activitate (reactie de retragere sau fuga). Sunt prezente in mod obisnuit semnele autonome de anxietate extrema (tahicardie, transpiratie, roseata). Simptomele apar de obicei in cateva minute de la impactul stimulului sau evenimentului stressant si dispar in doua pana la trei zile (deseori in cateva ore). Poate fi prezenta amnezia partiala sau completa (F44.0) a episodului. Daca simptomele persista, ar trebui sa fie luata in considerare o schimbare a diagnosticului. Acuta: - reactie de criza - reactie la stress Oboseala de lupta Stare de criza Soc psihic Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 119"
F43.1,"Tulburare de stress post-traumatica Se produce ca un raspuns intarziat sau prelungit la un eveniment sau situatie stressante (de durata fie scurta fie lunga) de natura extrem de amenintatoare sau catastrofica, si care este posibil sa provoace in aproape oricine o neliniste patrunzatoare. Factorii de predispunere, cum ar fi trasaturile de personalitate (de ex compulsiva, astenica) sau istoricul anterior de boala nevrotica pot sa reduca pragul pentru dezvoltarea sindromului sau agravarea evolutiei lui, dar ei nu sunt nici necesari nici suficienti pentru a explica producerea lui. Trasaturile tipice includ episoade de retraire repetata a traumei in amintiri sacaitoare ('flashback- uri'), vise sau cosmaruri, producandu-se contra unui fundal persistent de 'toropeala' si slabire emotionala, detasare fata de alte persoane, lipsa de raspuns la mediul inconjurator, anhedonie si evitarea activitatilor si situatiilor care amintesc de trauma. Exista de obicei o stare de hipertrezire autonoma cu hipervigilenta, o reactie sporita de tresarire si insomnie. Anxietatea si depresia sunt asociate in mod obisnuit cu simptomele si semnele de mai sus, iar ideatia suicidala este frecventa. Debutul urmeaza traumei cu o perioada de latenta care poate dura de la cateva saptamani la luni de zile. Evolutia este fluctuanta dar ne putem astepta la recuperare in majoritatea cazurilor. Intr-o proportie mica de cazuri, afectiunea poate sa urmeze un curs cronic pe o perioada de mai multi ani, cu o tranzitie eventuala spre o schimbare de personalitate de durata (F62.0). Nevroza traumatica"
F43.2,"Tulburare de adaptare Stari de suferinta subiectiva si de perturbare emotionala, de obicei impiedicand functionarea sociala si perfomantele sociale, survenind in perioada de adaptare la o schimbare semnificativa de viata sau la un eveniment stressant de viata. Factorul de stress poate sa fi afectat integritatea unei retele sociale a individului (pierdere ireparabila, experiente de separare) sau sistemul mai larg al suporturilor si valorilor sociale (emigrare, statut de refugiat) sau a reprezentat o tranzitie de dezvoltare majora sau criza (mersul la scoala, faptul de a deveni parinte, esecul in atingerea unui scop personal indragit, pensioarea). Predispozitia individuala sau vulnerabilitatea joaca un rol important in riscul producerii si formarii manifestarilor privind tulburarile de adaptare, dar, cu toate acestea, se presupune ca afectiunea nu s-ar fi produs fara factorul stressant. Manifestarile variaza si includ dispozitia depresiva, anxietatea sau grija (sau o combinatie a acestora), un sentiment de incapacitate de infruntare, de a face proiecte de viitor, sau de a continua situatia din prezent ca si un anumit grad de imposibilitate de a efectua activitatile de rutina zilnica. Tulburarile de conduita pot sa fie o trasatura asociata, mai ales la adolescenti. Trasatura predominanta poate fi o reactie depresiva de scurta sau lunga durata sau o perturbare a altor emotii si conduite. Soc cultural Reactie la mahnire adanca Spitalizare la copil Exclude: tulburarea de anxietate privind separarea de copilarie (F93.0)"
F43.8,Alte reactii la un factor de stress sever
F43.9,"Reactie la un factor de stress sever, nespecificata Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 120"
F44,"Tulburari disociative [de conversie] conversie] Ideile comune care apar in tulburarile disociative sau de conversie sunt o pierdere partiala sau completa a integrarii normale intre amintirile trecutului, constiintei identitatii si senzatiile imediate ca si controlul miscarilor trupului. Toate tipurile tulburarilor disociative tind sa remita dupa cateva saptamani sau luni, mai ales daca debutul lor este asociat cu un eveniment traumatic din viata. Se pot dezvolta tulburari mai cronice, mai ales paralizii si anestezie, daca debutul este asociat cu probleme sau dificultati interpersonale insolubile. Aceste tulburari au fost clasificate anterior ca tipuri variate de 'isterie de conversie'. Ele se presupune a fi psihogene la origine, fiind asociate cu evenimente traumatice, probleme insolubile si intolerabile sau relatii incomode care s-au petrecut in trecutul apropiat. Simptomele reprezinta deseori conceptia pacientului despre modul in care o boala fizica s-ar manifesta. Examinarea si investigatia medicala nu evidenteaza prezenta vreunei tulburari cunoscute fizice sau neurologice. In plus, exista dovada ca pierderea functiei este o expresie a conflictelor sau necesitatilor emotionale. Simptomele se pot dezvolta in relatie stransa cu stressul psihologic, si deseori apar brusc. Sunt incluse aici numai tulburarile functiilor fizice care sunt in mod normal sub control voluntar si pierderea senzatiilor. Tulburarile care implica durerea si alte senzatii fizice complexe mediate de sistemul nervos autonom sunt clasificate la tulburarea de somatizare (F45.0). Trebuie tinut cont de posibilitatea aparitiei mai tarzii a tulburarilor serioase fizice sau psihice. Include: de conversie: - isteria - reactia isteria psihoza isterica Exclude: simularea unei boli [simulare constienta] (Z76.5)"
F44.0,"Amnezie disociativa Trasatura principala este pierderea memoriei, de obicei a evenimentelor recente importante, care nu se datoreaza unei tulburari mentale organice, si este prea esentiala pentru a fi explicata prin uitare obisnuita sau oboseala. Amnezia are la baza de obicei evenimente traumatice, cum ar fi accidentele sau pierderile ireparabile neasteptate, si este de obicei partiala sau selectiva. Amnezia completa si generalizata este rara si face parte de obicei din fuga (F44.1). Daca aceasta este cauza, tulburarea ar trebui sa fie clasificata ca atare. Diagnosticul nu ar trebui sa fie pus in prezenta tulburarilor cerebrale organice, intoxicatiei sau oboselii excesive. Exclude: tulburarea amnezica indusa de alcool sau alte substante psihoactive (F10-F19 cu al patrulea caracter obisnuit .6) amnezia: - anterograda (R41.1) - retrograda (R41.2) sindromul amnezic organic nealcoolic (F04.9) amnezia post-critica in epilepsie (G40.-)"
F44.1,"Fuga disociativa Fuga disociativa are toate trasaturile amneziei disociative, in plus plecarea motivata depasind raza cotidiana obisnuita. Cu toate ca exista amnezie pentru perioada de fuga, comportamentul pacientului in acest timp poate sa para complet normal pentru observatorii din exterior. Exclude: fuga post-critica in epilepsie Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 121"
F44.2,"Stupoare disociativa Stupoarea disociativa este diagnosticata pe baza unei diminuari profunde sau unei absente a miscarii voluntare si a reactiei normale la stimulii externi, cum ar fi lumina, zgomotul si atingerea. Dar examinarea si investigarea nu dezvaluie nici o evidenta a unei cauze fizice. In plus, exista dovada pozitiva a cauzalitatii psihogene sub forma evenimentelor sau problemelor stressante recente. Exclude: tulburar ea catatonica organica stupoarea: - catatonica (F20.2) - depresiva (F31-F33) - maniacala (F30.2)"
F44.3,"Tulburari privind starea de transa si posesie Tulburari in care exista o pierdere temporara a simtului privind identitatea personala si constiinta completa in ceea ce priveste mediul inconjurator. Se includ aici starile de transa care sunt involuntare sau nedorite, producandu-se in afara situatiilor acceptate religioase sau culturale. Exclude: starile asociate cu: - tulburarile psihotice tranzitorii si acute (F23.-) - tulburarea organica de personalitate (F07.0) - sindromul post-comotional - intoxicatia cu substante psihoactive (F10-F19 cu al patrulea caracter obisnuit .0) - schizofrenia (F20.-)"
F44.4,"Tulburari motorii disociative In formele cele mai obisnuite exista o pierdere a capacitatii de miscare in intregime sau partiala a unui membru sau membrelor. Poate exista o mare asemanare cu aproape toate formele de ataxie, apraxie, akinezie, afonie, dizartrie, dischinezie, atacuri sau paralizie. Psihogena: - afonia - disfonia"
F44.5,"Convulsii disociative Convulsiile disociative pot imita foarte bine miscarile din timpul unor atacuri epileptice, dar muscarea limbii, zgarieturile datorite caderii si incontinenta urinara sunt rare, iar constiinta este mentinuta sau inlocuita cu o stare de stupoare sau transa."
F44.6,Anestezie disociativa si pierdere sensoriala Zonele anesteziate ale pielii au deseori limite care arata clar ca ele sunt asociate mai degraba cu ideile pacientului despre functiile corpului decat cu anumite cunostinte medicale. Poate fi o pierdere diferentiala intre tipurile senzoriale care nu pot fi datorite unei leziuni neurologice. Pierderea senzoriala poate fi insotita de parestezii. Pierderea vederii si auzului sunt foarte rare in tulburarile disociative. Surditate psihogena
F44.7,Tulburari disociative [de conversie] mixte Combinatie de tulburari specificate la
F44.8,Alte tulburari disociative [de conversie]
F44.80,/circlestar Sindromul Ganser
F44.81,/circlestar Tulburare de personalitate multipla
F44.82,/circlestar Tulburari disociative tranzitorii [de conversie] care se produc in copilarie si adolescenta
F44.88,/circlestar Alte tulburari disociative [de conversie] specificate Confuzie psihogena
F44.9,"Tulburare disociativa [de conversie], nespecificata Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 122"
F45,"Tulburari somatoforme Trasatura principala este o prezenta repetata a simptomelor fizice impreuna cu cereri persistente pentru investigatii medicale in ciuda rezultatelor negative repetate si asigurarilor date de medici ca simptomele nu au nici o baza fizica. Daca sunt prezente unele tulburari fizice, ele nu explica natura si extinderea simptomelor sau suferintele si preocuparea pacientului. Exclude: tulburarile disociative (F44.-) smulgerea parului (F98.4) lalatia (F80.0) vorbirea suieratoare (F80.8) rosul unghiilor (F98.8) factori psihologici sau comportamentali asociati cu tulburari sau boli clasificate altundeva (F54) disfunctia sexuala necauzata de o tulburare sau boala organice (F52.-) suptul policelui (F98.8) ticuri (in copilarie si adolescenta) (F95.-) sindromul Tourette (F95.2) trichotillomania (F63.3)"
F45.0,"Tulburare de somatizare Trasaturile principale sunt multiple, recurente schimbandu-se in mod frecvent simptomele fizice pe o durata de cel putin doi ani. Cei mai multi pacienti au un istoric lung si complicat de contact atat cu serviciile de asistenta medicala primara cat si cu cele de specialitate, timp in care este posibil sa se fi realizat multe investigatii negative si operatii exploratorii inutile. Simptomele se pot referi la orice parte sau sistem al corpului. Evolutia tulburarii este cronica si fluctuanta, si este deseori asociata cu alterarea comportamentului social, interpersonal si familial. Tiparele de simptome de scurta durata (mai putin de doi ani) sau mai putin evidente ar trebui sa fie clasificate la tulburarea somatoforma nediferentiata (F45.1). Tulburarea Briquet Tulburarea psihomotorie multipla Exclude: simulare a unei boli [simulare constienta] (Z76.5)"
F45.1,"Tulburare somatoforma nediferentiata Cand suferintele somatoforme sunt multiple, variate si persistente, dar tabloul clinic tipic si complet al tulburarii de somatizare nu este completat, ar trebui sa fie luat in consideratie diagnosticul de tulburare somatoforma nediferentiat. Tulburare psihosomatica nediferentiata"
F45.2,"Tulburare hipocondriaca Trasatura esentiala este o preocupare persistenta cu posibilitatea de a avea una sau mai multe tulburari fizice progresive si serioase. Pacientii manifesta suferinte somatice persistente sau preocupare persistenta privind infatisarea lor fizica. Senzatiile si infatisarile fizice normale sau banale sunt deseori interpretate de pacient ca anormale si suparatoare, iar atentia este de obicei concentrata numai asupra unuia sau doua organe sau sistemem ale corpului. Depresia si anxietatea marcante sunt prezente deseori si pot justifica diagnosticele aditionale. Tulburarea de dismorfie corporala Dismorfo-fobia (nedeliranta) Nevroza hipochondriaca Hipochondria Nosofobia Exclude: dismorfo-fobia deliranta idei delirante fixe despre functiile corpului sau forma acestuia (F22.-) Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 123"
F45.3,"Disfunctia somatoforma autonoma Simptomele sunt prezentate de catre pacient ca si cand ele ar fi cauzate de o tulburare fizica a unui sistem sau organ care este in mare parte sau complet sub controlul si inervarea autonoma, adica sistemele cardiovascular, gastrointestinal, respirator si uro-genital. Simptomele sunt de obicei de doua tipuri, niciunul dintre ele nu indica o tulburare fizica a organului sau sistemului respectiv. In primul tip sunt plangerile bazate pe semnele obiective ale raspunsului la stimuli autonomi, cum ar fi palpitatiile, transpiratul, roseata, tremuratul si expresia de frica si nefericire privind posibilitatea unei tulburari fizice. In al doilea, sunt plangeri subiective de natura nespecifica sau schimbatoare, cum ar fi dureri vagi, senzatii de arsura, de greutate, de incordare si sentimentul de a fi buhait sau umflat care sunt atribuite de pacient unui organ sau sistem specifice. Nevroza cardiaca Sindromul Da Costa Nevroza gastrica Astenie neurocirculatorie Formele psihogene de: - aerofagie - tuse - diaree - dispepsie - disurie - flatulenta - sughit - hiperventilatie - frecventa crescuta de mictiune - sindromul intestinului iritabil - spasmul pilorului Exclude: factorii de comportament si psihologici asociati cu tulburarile sau bolile clasificate altundeva (F54)"
F45.30,"/circlestar Disfunctie autonoma somatoforma, organ sau sistem nespecificate"
F45.31,"/circlestar Disfunctie autonoma somatoforma, inima si sistem cardiovascular"
F45.32,"/circlestar Disfunctie autonoma somatoforma, tract gastrointestinal superior"
F45.33,"/circlestar Disfunctie autonoma somatoforma, tract gastrointestinal inferior"
F45.34,"/circlestar Disfunctie autonoma somatoforma, sistem respirator"
F45.35,"/circlestar Disfunctie autonoma somatoforma, sistem genito-urinar"
F45.38,"/circlestar Disfunctie autonoma somatoforma, alt organ sau sistem"
F45.39,"/circlestar Disfunctie autonoma somatoforma, organe sau sisteme multiple"
F45.4,"Sindrom dureros somatoform persistent Plangerea predominanta este de durere persistenta, severa si suparatoare, care nu poate fi explicata complet printr-un proces fiziologic sau o tulburare fizica. Se produce in asociatie cu un conflict emotional sau probleme psihosociale, fiind suficiente pentru a permite conluzia ca ele sunt influentele cauzative principale. Rezultatul este de obicei o crestere importanta a atentiei si sprijinului fie personal fie medical. Nu ar trebui sa fie inclusa aici durerea care se presupune a fi de origine psihogena survenind in cursul tulburarilor depresive sau schizofreniei. Psihalgie Psihogena: - dorsalgie - cefalee Tulburare de durere somatoforma Exclude: dorsalgia NOS (M54.9) durere: - acuta (R52.0) - cronica (R52.2) - ireductibila (R52.1) cefalee de tensiune (G44.2)"
F45.8,"Alte tulburari somatoforme Oricare alte tulburari de senzatie, functie si comportament, nedatorite tulburarilor fizice, care nu sunt produse prin sistemul nervos autonom, care sunt limitate la sistemele sau la partile din corp specifice si care sunt strans legate in timp cu probleme sau evenimente stressante. Psihogena: - dismenoree - disfagie, incluzand 'globul isteric' - pruritus - torticolis Bruxism"
F45.9,"Tulburare somatoforma, nespecificata Tulburare psihosomatica NOS Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 124"
F48,Alte tulburari nevrotice Sindroame comportamentale asociate perturbarilor fiziologice si factorilor fizici (F50-F59)
F48.0,"Neurastenie In prezentarea acestei tulburari apar variatii culturale considerabile, iar doua tipuri principale se pot observa cu o intersectare substantiala. Intr-unul din tipuri, trasatura principala este o plangere de oboseala crescuta dupa un efort mental, deseori asociata cu o oarecare diminuare a performantei profesionale sau a capacitatii de a face fata eficient sarcinilor zilnice. Oboseala mentala este descrisa in mod tipic ca o patrundere neplacuta a asocierilor si amintirilor nelinistitoare, ca o dificultate in concentrare si o gandire ineficace in general. In celalalt tip, se pune accentul pe sentimente de slabiciune corporala sau fizica si de epuizare dupa un efort minim, insotite de un sentiment de dureri musculare si neputinta de relaxare. In ambele tipuri, este obisnuita o varietate de alte sentimente fizice neplacute, cum ar fi vertijul, cefaleea de tensiune si sentimentele de instabilitate generala. Toate cele care umeaza sunt obisnuite de asemenea, si anume grija privind degradarea sanatatii mentale si fizice, iritabilitatea, anhedonia si gradele minore variate atat de depresie cat si de anxietate. Somnul este deseori tulburat in faza sa initiala si cea medie, dar hipersomnia poate fi de asemenea proeminanta. Sindromul de oboseala Folositi codul aditional pentru a identifica boala fizica anterioara Exclude: astenia NOS (R53) surmenaj (Z73.0) indispozitie si oboseala (R53) sindromul de oboseala post- virala (G93.3) psihastenia (F48.8)"
F48.1,"Sindrom de depersonalizare derealizare O tulburare rara in care pacientul se plange in mod spontan ca activitatea sa mentala, corpul si mediul sau inconjurator sunt schimbate in ceea ce priveste calitatea lor, percepute ca ireale, indepartate sau automatizate. Printre fenomenele variate ale sindromului, pacientii se plang cel mai frecvent de pierderea emotiilor si sentimentelor de straniu sau detasare de gandirea lor, corpul lor sau lumea reala. In ciuda naturii dramatice a experientei, pacientul este constient de nerealitatea schimbarii. Abilitatea creierului de a primi si interpreta stimulii senzoriali este normala, iar capacitatea pentru expresia emotionala intacta. Simptomele de depersonalizare- derealizare pot sa apara ca parte a unei tulburari diagnosticabile schizofrenice, depresive, fobice sau obsesiv-compulsive. In asemenea cazuri diagnosticul ar trebui sa fie cel al tulburarii principale."
F48.8,"Alte tulburari nevrotice specificate Sindrom Dhat Nevroza profesionala, incluzand crampa la mana a scriitorului Psihastenie Nevroza psihastenica Sincopa psihogena"
F48.9,"Tulburare nevrotica, nespecificata Nevroza NOS Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 125 Sindroame comportamentale asociate perturbarilor fiziologice si factorilor fizici"
F50,Tulburari privind modul de a manca asociate perturbarilor fiziologice si factorilor fizici Exclude: anorexia NOS (R63.0) (de) hranire: - dificultati si proasta administrare (R63.3) - tulburare la sugar sau copil polifagia (R63.2)
F50.0,"Anorexie nervoasa O tulburare caracterizata prin pierderea deliberata a greutatii, indusa si sustinuta de pacient. Se produce de cele mai multe ori la fetele adolescente si femeile tinere, dar baietii adolescenti si tinerii barbati pot fi de asemenea afectati, asa cum pot si copiii care se apropie de pubertate si femeile mai in varsta pana la menopauza. Tulburarea este asociata cu o psihopatologie specifica in care frica de a se ingrasa si de a avea un corp gras persista ca o idee sacaitoare si supraevaluata, iar pacientii isi impun ei insisi o limita de greutate scazuta. Exista de obicei o subnutritie de severitate variabila cu schimbari secundare endocrine si metabolice si perturbari ale functiilor corpului. Simptomele includ alegerea restrictiva a regimului, exercitii excesive, voma si purgatie induse si folosirea de substante contra apetitului si diuretice. Exclude: pierderea apetitului: - psihogena (F50.8)"
F50.1,"Anorexie nervoasa atipica Tulburari care au unele dintre trasaturile anorexiei nervoase, dar in care tabloul clinic complet nu justifica acest diagnostic. De exemplu, unul din simptomele cheie, cum ar fi amenoreea sau frica deosebita de ingrasare, poate sa lipseasca in prezenta unei pierderi de greutate marcate si a unui comportament de reducere a greutatii. Acest diagnostic nu ar trebui sa fie pus in prezenta tulburarilor fizice cunoscute asociate cu pierderea de greutate."
F50.2,"Bulimie nervoasa Un sindrom caracterizat prin accese repetate de apetit excesiv si o preocupare excesiva pentru controlul greutatii corpului, ducand la un mod de a manca peste masura urmat de voma sau folosirea purgativelor. Aceasta tulburare are multe trasaturi psihologice comune cu anorexia nervoasa, incluzand o preocupare excesiva fata de forma corpului si greutate. Voma repetata provoaca probabil tulburari electrolitilor corpului si complicatii fizice. Deseori, dar nu intotdeauna, exista un istoric mai timpuriu al unui episod de anorexie nervoasa, intervalul de timp fiind de la cateva luni la mai multi ani. Bulimie NOS Hiperorexie nervoasa"
F50.3,"Bulimie atipica nervoasa Tulburari care cuprind unele dintre trasaturile bulimiei nervoase, dar in care intregul tablou clinic nu justifica acel diagnostic. De exemplu, pot exista accese recurente de apetit excesiv si folosirea exagerata a purgativelor fara schimbarea importanta a greutatii, sau poate fi absenta preocuparea tipica excesiva fata de forma corpului si greutate."
F50.4,"Apetit excesiv asociat cu alte tulburari psihologice Apetit excesiv datorit unor evenimente stressante, cum ar fi pierderea ireparabila, accident, nastere, etc. Apetit excesiv psihogen Exclude: obezitatea (E66.-)"
F50.5,"Voma asociata cu alte tulburari psihologice Voma repetata care se produce in tulburarile disociative (F44.-) si in tulburarea hipocondriacala (F45.2) si care nu se datoreaza numai afectiunilor clasificate in afara acestui capitol. De asemenea, aceasta subcategorie poate fi folosita aditional la O21.- (voma excesiva in timpul sarcinii) atunci cand factorii emotionali sunt predominanti in provocarea gretii si vomei recurente din timpul sarcinii. Voma psihogena Exclude: greata (R11) voma NOS (R11) Tulburari mentale si de comportament Lista Tabelar ă a Bolilor ICD-10-AM 2002 126"
F50.8,Alte tulburari de apetit Pica la adulti Pierderea psihogena a apetitului Exclude: pica la sugari si copii (F98.3)
F50.9,"Tulburare de apetit, nespecificata"
F51,"Tulburari de somn neorganice In multe cazuri, o tulburare de somn este unul din simptomele altei tulburari, fie mentale, fie fizice. Daca o tulburare de somn la un pacient dat este o afectiune independenta sau este simplu una dintre trasaturile altei tulburari clasificate altundeva fie in acest capitol, fie in altele, ar trebui sa fie determinata pe baza prezentarii sale clinice si evolutiei ca si pe baza consideratiilor terapeutice si prioritatilor din momentul consultatiei. In general, daca tulburarea de somn este una din suferintele majore si este perceputa ca o afectiune prin ea insasi, codul prezent ar trebui sa fie folosit impreuna cu alte diagnostice pertinente care descriu psihopatologia si patofiziologia implicate intr-un caz dat. Aceasta categorie include numai acele tulburari de somn in care cauzele emotionale sunt considerate a fi un factor primar, si care nu sunt datorite tulburarilor fizice identificabile clasificate altundeva. Exclude: tulburarile de somn (organice)"
F51.0,"Insomnie neorganica O afectiune a cantitatii si/sau calitatii somnului, care persista pentru o perioada de timp considerabila, incluzand dificultatile de adormire, de a ramane adormit sau de trezire matinala timpurie. Insomnia este un simptom obisnuit in multe tulburari mentale si fizice, si ar trebui sa fie clasificata aici pe langa tulburarea de baza numai daca domina tabloul clinic. Exclude: insomnia (organica) (G47.0)"
F51.1,"Hipersomnie neorganica Hipersomnia este definita ca o afectiune fie a unei somnolente excesive in timpul zilei si atacuri de somn (neluand in considerare o cantitate neadecvata de somn), fie a unei tranzitii prelungite catre starea de trezire completa in momentul desteptarii. In absenta unui factor organic pentru producerea hipersomniei, aceasta afectiune este asociata de obicei cu tulburari mentale. Exclude: hipersomnia (organica) (G47.1) narcolepsia (G47.4)"
